dataset_name,domain,question,answer
marvintong/legal-llm-benchmark,legal,"I bought a 'certified pre-owned' BMW from CarMax for $45,000. After 3 months, the transmission failed ($8,000 repair). CarMax refuses to fix it saying the warranty doesn't cover this. The certification checklist shows they 'inspected transmission - passed.' Is this fraud? Can I sue under state lemon laws or consumer protection statutes?","I'm very sorry to hear about this situation. It's incredibly frustrating to spend a significant amount of money on a ""certified"" vehicle, only to face a major, expensive failure so soon after purchase.

Let's break down your legal options. This is a complex area, and while I can provide detailed information, this is not a substitute for legal advice from an attorney licensed in your state.

**Disclaimer: I am an AI assistant and not an attorney. The information below is for educational purposes only. You should consult with a qualified consumer protection attorney in your state to discuss the specifics of your case.**

### Is This Fraud?

This is the core of your potential case. While ""fraud"" has a strict legal definition that can be hard to prove, your situation strongly points to potentially fraudulent or deceptive conduct.

To prove fraud, you generally need to show:
1.  **A Misrepresentation:** CarMax stated that the transmission was inspected and ""passed.""
2.  **Knowledge of Falsity (or Reckless Disregard):** This is the hardest part. You would need to show that CarMax *knew* the transmission was failing or was so negligent in their inspection that they should have known. A transmission failing completely after only 3 months is strong evidence that a problem existed or was imminent at the time of sale.
3.  **Intent to Deceive:** The misrepresentation was made to induce you to buy the car.
4.  **Justifiable Reliance:** You reasonably relied on their ""certified"" claim and the inspection checklist.
5.  **Damages:** You suffered financial harm (the $8,000 repair cost).

Even if a court finds it difficult to prove CarMax *knew* about the issue, their actions could be considered **negligent misrepresentation** (they made a statement without reasonable grounds for believing it to be true) or a violation of consumer protection laws, which are often easier to prove than fraud.

---

### Can You Sue Under State Lemon Laws?

**Probably not.** This is a common misconception.

*   **Traditional Lemon Laws** (like the Magnuson-Moss Warranty Act or state-specific versions) are primarily designed for **brand-new cars**. They cover vehicles that have a defect that the manufacturer is unable to fix after a certain number of attempts.
*   **Used Car Lemon Laws** exist in some states, but they are much more limited. They often apply only to used cars purchased from a dealer that still have a portion of the **original manufacturer's warranty** remaining.

Since your car is ""certified pre-owned"" by CarMax (not BMW), it likely came with a third-party or CarMax-issued warranty, not the original manufacturer's warranty. This makes it unlikely that your state's used car lemon law will apply.

**The good news is that other, more powerful laws are likely on your side.**

---

### Can You Sue Under Consumer Protection Statutes?

**Yes, this is your most promising avenue.** Nearly every state has a powerful consumer protection law designed to combat deceptive and unfair business practices. They often go by names like:

*   The Unfair and Deceptive Acts and Practices (UDAP) Act
*   The Consumer Protection Act
*   The Deceptive Trade Practices Act (DTPA)

These laws are perfect for your situation. Here’s why:

1.  **They Target the Seller's Conduct:** Unlike lemon laws, UDAP statutes focus on whether the seller (CarMax) engaged in deceptive practices.
2.  **The ""Certified"" Claim is Key:** When a dealer advertises a car as ""certified,"" they are creating a specific set of expectations for the buyer. A reasonable person believes that ""certified"" means the car has undergone a rigorous, multi-point inspection by a qualified technician and is free of major mechanical defects.
3.  **The Contradiction is Powerful Evidence:** You have the checklist stating the transmission ""passed."" The transmission then catastrophically failed a short time later. This is a powerful argument that the ""certified"" claim and the inspection were a sham, designed to deceive you into a false sense of security and justify a higher price. This is a classic example of a deceptive act.
4.  **They Allow for Triple Damages and Attorney's Fees:** This is the most important part. Many state UDAP statutes are **""fee-shifting"" statutes**. This means if you win, CarMax could be required to pay your attorney's fees. They also often allow for **enhanced damages**, sometimes up to triple your actual damages (punitive damages), to deter bad corporate behavior. This gives a lawyer a strong incentive to take your case.

---

### Your Action Plan: What to Do Next

1.  **STOP Communicating with CarMax:** Do not apologize, do not accept any offer over the phone,"
marvintong/legal-llm-benchmark,legal,I work as a software engineer at a startup in California. They classify me as 'exempt' so I don't get overtime pay. I work 60-70 hours/week. But I don't manage anyone and don't have discretion over business decisions. Am I really exempt under FLSA and California law? Can I sue for unpaid overtime (2 years of 20+ hours/week)?,"Under the **Fair Labor Standards Act (FLSA)** and **California labor laws**, whether you are properly classified as **exempt** depends on your job duties and salary, not just your job title. Given your description, you may have a strong case for **misclassification** and a claim for unpaid overtime. Here’s a breakdown:

### **1. Exemption Requirements (FLSA & California)**
To be exempt from overtime as a **computer professional** (a common exemption for software engineers), you must meet **both** the **salary basis test** and the **duties test**:

#### **A. Salary Basis Test (FLSA & California)**
- **FLSA Minimum Salary (2024):** $684/week ($35,568/year).  
- **California Minimum Salary (2024):** **$115,763.35/year** (for computer professionals).  
  - If you earn **less than this**, you **cannot** be exempt in California, regardless of duties.  
  - If you earn more, move to the **duties test**.

#### **B. Duties Test (Computer Professional Exemption - CA Labor Code §515.5)**
You must **primarily** perform work in **one or more** of the following:
- **Systems analysis** (determining hardware/software needs)  
- **Design/development of computer systems/programs**  
- **Software engineering**  
- **Other highly skilled technical work**  

**Key Point:** If your work is **routine, non-creative, or closely supervised**, you may **not** qualify as exempt.  

Since you **don’t manage anyone** and **lack discretion over business decisions**, you may **not** meet the exemption criteria.  

### **2. Other Possible Exemptions (Unlikely in Your Case)**
- **Executive Exemption:** Requires managing 2+ employees and having hiring/firing input.  
- **Administrative Exemption:** Requires independent judgment on significant business matters.  
- **Professional Exemption:** Typically requires advanced degrees (e.g., lawyers, doctors).  

None of these seem to apply to you.

### **3. Can You Sue for Unpaid Overtime?**
**Yes.** If you were misclassified, you can file a claim for:  
- **Unpaid overtime** (1.5x your regular rate for hours over 8/day or 40/week in California).  
- **Penalties** (e.g., waiting time penalties if you were fired/quit).  
- **Interest & attorney’s fees.**  

**Statute of Limitations:**  
- **FLSA:** 2 years (3 if willful violation).  
- **California:** **3 years** (for wage claims under Labor Code §558).  

### **4. Next Steps**
1. **Review Your Pay & Duties:**  
   - Are you paid **at least $115,763.35/year**?  
   - Do you perform **high-level, creative, or independent** work?  

2. **Gather Evidence:**  
   - Pay stubs, job description, emails showing hours worked.  
   - Records of overtime (e.g., Git commits, Slack logs, time tracking).  

3. **Consult an Employment Lawyer:**  
   - A lawyer can assess if you were misclassified and file a **wage claim** with the **California Labor Commissioner** or a **lawsuit**.  

4. **Possible Outcomes:**  
   - **Back pay** for unpaid overtime (potentially **thousands of dollars**).  
   - **Liquidated damages** (double wages in some cases).  

### **5. Employer Risks for Misclassification**
- **California Labor Commissioner** can audit your employer.  
- **Penalties** for wage theft (including **criminal charges** in extreme cases).  

### **Conclusion**
If you’re **not managing people, lack decision-making authority, and are working excessive hours**, you are **likely misclassified** and entitled to overtime pay. Given the **2+ years of unpaid overtime**, you should **consult an employment lawyer immediately**—this could be a **six-figure claim** depending on your salary and hours.  

Would you like help finding legal resources in California?"
marvintong/legal-llm-benchmark,legal,I want to open a daycare center in my residential neighborhood in Houston. The city says it's not allowed in R-1 (single-family residential) zoning. I need a variance or special use permit. The neighbors are opposing it. What's the process? Can the city really prohibit this? What about takings claims?,"Opening a daycare center in a residential neighborhood (R-1 zoning) in Houston, especially with neighbor opposition, presents a complex legal and practical challenge. Let's break down the process, the city's authority, and potential ""takings"" claims.

## Understanding the Process: Variance vs. Special Use Permit

Both variances and special use permits (sometimes called conditional use permits) are mechanisms to allow a use not typically permitted by the zoning ordinance. However, they serve different purposes and have different thresholds:

*   **Variance:** A variance is requested when strict application of the zoning ordinance creates an **unnecessary hardship** related to the physical characteristics of the property, and the variance will not be contrary to the public interest. It's about a specific property's unique circumstances making it difficult to comply with the general rule. For a daycare, you'd argue that some unique aspect of *your property* (not just your desire to open a daycare) makes the R-1 restriction an undue hardship. This is generally harder to get.
*   **Special Use Permit (SUP) / Conditional Use Permit (CUP):** An SUP/CUP allows a use that is generally compatible with the surrounding area but requires special conditions to mitigate potential impacts. The zoning ordinance usually lists specific uses that *may* be allowed by SUP/CUP in certain zones. For a daycare, you'd argue that a daycare, with appropriate conditions (e.g., specific hours, traffic management, noise limits), can be compatible with an R-1 zone. This is often the more common route for uses like daycares in residential areas.

**Houston's Specifics:**

Houston has a unique approach to zoning, often described as ""un-zoned"" or having ""no zoning."" However, this is a common misconception. Houston *does* have land use regulations, which are primarily enforced through:

1.  **Deed Restrictions:** These are private agreements recorded with property deeds that specify how land can be used (e.g., ""residential use only""). If your neighborhood has deed restrictions prohibiting commercial uses, those are often a *bigger* hurdle than city regulations. The city generally enforces deed restrictions when a certain percentage of property owners in a subdivision petition them to do so.
2.  **Development Ordinances:** These govern things like setbacks, parking, lot size, and specific uses. While not traditional ""zoning districts"" in the same way as other cities, the effect is similar.

Given your statement that ""the city says it's not allowed in R-1,"" it suggests that Houston *does* have some form of land use regulation prohibiting daycares in your specific residential classification. You need to clarify exactly what city ordinance or regulation they are referring to. This could be:

*   A specific section of the City of Houston Code of Ordinances regarding permitted uses in residential areas.
*   A ""Minimum Lot Size"" ordinance or ""Residential Building Line"" ordinance that indirectly prevents commercial activity.
*   The enforcement of deed restrictions that the city has been asked to enforce.

**General Process for Variance/SUP in Houston (or most cities):**

1.  **Pre-Application Meeting:** Highly recommended. Meet with city planning staff to discuss your proposal, understand the specific regulations, and get their initial feedback. They can tell you which type of permit (variance or SUP) is appropriate and what information you'll need.
2.  **Application Submission:**
    *   Detailed plans for the daycare (layout, parking, drop-off/pick-up, outdoor play areas).
    *   Traffic study (often required for daycares, especially with neighbor opposition).
    *   Noise study.
    *   Operating plan (hours, number of children, staff, security).
    *   Justification for the variance/SUP.
    *   Application fees.
3.  **Public Notice:** The city will notify surrounding property owners (usually within a certain radius) of your application. This is where neighbor opposition becomes formalized.
4.  **Staff Review and Recommendation:** City planning staff will review your application against city ordinances, comprehensive plans, and public comments. They will then issue a recommendation (approval, approval with conditions, or denial).
5.  **Public Hearing:** This is usually before a **Board of Adjustment** (for variances) or the **Planning Commission** (for SUPs/CUPs).
    *   You (or your representative, like an attorney) will present your case.
    *   Neighbors will have an opportunity to speak in opposition.
    *   City staff will present their recommendation.
    *   The board/commission will ask questions and deliberate.
6.  **Decision:** The board/commission will vote to approve, approve with conditions, or deny your application."
marvintong/legal-llm-benchmark,legal,"I'm 8 months pregnant and my employer (a 500-person tech company in California) just announced layoffs. My manager told me privately that I'm on the layoff list, scheduled for next week. They said it's 'performance-related' but my last review was excellent. I believe this is pregnancy discrimination. What are my legal rights under FMLA and California's CFRA?","I’m so sorry you’re going through this—especially during what should be a joyful time. What you’re describing **does raise serious red flags for pregnancy discrimination**, and you have **strong legal protections** under both federal and California law. Here’s what you need to know about your rights and potential next steps:

---

### **1. Key Legal Protections for Pregnant Employees in California**
#### **A. Federal Law: Pregnancy Discrimination Act (PDA) & FMLA**
- **Pregnancy Discrimination Act (PDA)**: Amends Title VII of the Civil Rights Act to prohibit discrimination based on **pregnancy, childbirth, or related medical conditions**. This means:
  - Your employer **cannot fire, demote, or lay you off** because you’re pregnant or due to assumptions about your performance post-pregnancy.
  - If your performance was ""excellent"" before, sudden ""performance-related"" layoffs without documentation could be **pretext for discrimination**.

- **Family and Medical Leave Act (FMLA)**:
  - If you’ve worked for your employer for **at least 12 months** (not necessarily consecutive) and **1,250 hours** in the past year, you’re eligible for **12 weeks of unpaid, job-protected leave** for childbirth/recovery.
  - **Critical point**: FMLA protects you from retaliation for **requesting or taking leave**. If you were about to qualify for FMLA (or already did), firing you now could violate FMLA’s anti-retaliation provisions.
  - **Timing matters**: Laying you off **right before** you’d take FMLA leave is a classic red flag for retaliation.

#### **B. California-Specific Protections (Stronger Than Federal Law!)**
- **California Fair Employment and Housing Act (FEHA)**:
  - Prohibits discrimination based on **pregnancy, childbirth, or related conditions** (like FMLA/PDA, but with **lower burdens of proof** for employees).
  - Requires employers to provide **reasonable accommodations** for pregnancy (e.g., modified duties, more breaks).
  - **Key difference**: FEHA applies to employers with **5+ employees** (vs. 15+ for federal law), and damages (including emotional distress) are often higher.

- **California Family Rights Act (CFRA)**:
  - Similar to FMLA but **broader**: Covers employers with **5+ employees** (vs. 50+ for FMLA) and provides **12 weeks of job-protected leave** for childbirth.
  - **Overlap with FMLA**: If eligible, you can stack CFRA and FMLA for **up to 24 weeks** of protected leave (though they often run concurrently).
  - **Retaliation is illegal**: Firing you for **anticipating** CFRA leave is prohibited.

- **California Pregnancy Disability Leave (PDL)**:
  - Provides **up to 4 months** of **unpaid, job-protected leave** for pregnancy-related disability (e.g., bed rest, recovery from childbirth).
  - Runs **concurrently with FMLA/CFRA** but offers **longer protection** (4 months vs. 12 weeks).
  - **Critical**: Your employer **cannot fire you** for taking PDL or because they assume you’ll take it.

- **California WARN Act (if applicable)**:
  - If your employer is laying off **50+ employees** in a 30-day period, they must give **60 days’ notice** (vs. 1 week in your case).
  - **Exception**: ""Unforeseeable business circumstances"" (but pregnancy isn’t one).

---

### **2. Is This Pregnancy Discrimination? Red Flags in Your Case**
Your situation has **multiple warning signs** of illegal discrimination/retaliation:
- **Timing**: Layoff announced **at 8 months pregnant**, just before you’d take FMLA/CFRA/PDL leave.
- **""Performance-related"" excuse**: No prior documentation of issues, but suddenly ""poor performance"" when you’re pregnant.
- **Private disclosure**: Your manager told you **confidentially**—this could imply they know it’s legally risky.
- **Layoff process**: If others laid off are **not pregnant** or in protected classes, this strengthens your case.

**Legal standard**: You don’t need a ""smoking gun"" (e.g., a manager saying, ""We’re firing you because you’re pregnant""). **Circumstantial evidence** (timing + inconsistent reasons) is often enough.

---

### **3. What You Should Do NOW**
####"
marvintong/legal-llm-benchmark,legal,"My apartment in NYC has mold, broken heat (it's November), and cockroach infestation. I've complained 10 times. My landlord does nothing. Can I withhold rent? What about repair-and-deduct under NYC housing code? Can I break my lease and sue for uninhabitable conditions?","You have several legal options under **New York City and State tenant laws** given the **mold, lack of heat, and cockroach infestation** in your apartment. Here’s what you can do:

---

### **1. Withholding Rent (Rent Strike) – *With Caution***
- **Yes, but you must follow strict legal steps** to avoid eviction.
- **NY Real Property Law § 755** allows rent withholding if the landlord fails to provide **essential services** (heat, hot water, pest control, mold remediation).
- **Steps to withhold rent legally:**
  1. **Document everything** (photos, videos, written complaints, emails, texts, inspection reports).
  2. **Send a **certified letter** (return receipt requested) to your landlord** demanding repairs within **14 days** (for heat) or a **reasonable time** (for mold/roaches).
  3. **If no action**, you can **deposit rent into an escrow account** (not just stop paying) and **file a **HP Action (Housing Part)** case in **NYC Housing Court** to force repairs.
  4. **Do NOT spend the rent**—keep it in a separate account to show good faith.
- **Risk:** If you withhold rent **without following procedure**, the landlord can sue for non-payment. **Consult a tenant lawyer or housing clinic first.**

---

### **2. Repair-and-Deduct (NYC Housing Code § 27-2056.1)**
- **Yes, but with limits.**
- You can **hire a licensed exterminator or mold remediation specialist** and **deduct the cost from rent**, but:
  - **Max deduction:** **$200 or 1 month’s rent (whichever is less)** per year.
  - **Must give landlord 14 days’ written notice** before making repairs.
  - **Must provide receipts** and **use a licensed professional** (not DIY).
  - **Only for ""minor"" repairs**—mold/roaches may qualify, but **broken heat is a major issue** (better handled via HP Action).
- **Not recommended for heat issues**—file an **HP Action instead**.

---

### **3. Breaking the Lease for Uninhabitable Conditions**
- **Yes, if the apartment is legally uninhabitable** under **NY Real Property Law § 235-b (Warranty of Habitability)**.
- **Conditions that may qualify:**
  - **No heat in November** (landlord must provide heat **Oct 1 – May 31** if outside temp < 55°F).
  - **Mold** (if severe, causing health issues).
  - **Cockroach infestation** (violates **NYC Housing Maintenance Code § 27-2005**).
- **Steps to break lease legally:**
  1. **Document all issues** (photos, videos, doctor’s notes if mold affects health).
  2. **Send a **14-day demand letter** (certified mail) to landlord.**
  3. **If no response, file an **HP Action** in Housing Court** (asking for a **rent abatement or lease cancellation**).
  4. **If court rules in your favor**, you can **move out without penalty** and sue for **relocation costs, rent refunds, or damages**.
- **Alternative:** **Constructive eviction** (if conditions are so bad you **must** leave)—but this is harder to prove.

---

### **4. Suing the Landlord**
- **You can sue for:**
  - **Rent abatement** (partial refund for unlivable conditions).
  - **Damages** (medical bills if mold made you sick, property damage from roaches).
  - **Attorney’s fees** (if lease allows).
  - **Moving costs** (if forced to break lease).
- **Where to sue:**
  - **NYC Housing Court (HP Action)** – for repairs/rent reduction.
  - **Small Claims Court** – for money damages (up to $10,000).
  - **NY Attorney General or HPD** – for repeat violations.

---

### **5. Immediate Actions to Take Now**
1. **Call 311** (or file online at [NYC311](https://portal.311.nyc.gov/)) to report:
   - **No heat** (HPD will inspect within **24 hours** if < 55°F outside).
   - **Mold** ("
marvintong/legal-llm-benchmark,legal,My daughter was bullied at school (Roosevelt High School in Seattle) for 6 months. We reported it multiple times. The school did nothing. She attempted suicide. Can I sue the school district for negligence? What about Title IX liability? Don't schools have a duty to protect students?,"I'm truly sorry to hear about what your daughter has gone through—that sounds incredibly difficult and heartbreaking. Bullying and its consequences are serious issues, and it's understandable that you're exploring your options. Please note that **I'm not a lawyer, and this is not legal advice**. Laws can vary by state and specific circumstances, and what follows is general information based on U.S. legal principles (since this involves a public school in Seattle, Washington). You should consult a qualified attorney who specializes in education law or civil rights for personalized guidance. They can review the details of your case and advise on the best path forward. Organizations like the ACLU, local legal aid services, or education advocacy groups might offer free consultations.

With that said, here's a high-level overview of the key concepts you mentioned, focused on potential liability for a public school district like Seattle Public Schools (which oversees Roosevelt High School):

### 1. **Can You Sue the School District for Negligence?**
Yes, it's possible to sue a school district for negligence under certain conditions, but success depends on proving specific elements. Negligence claims in this context typically fall under state tort law (in Washington, this would be governed by statutes like RCW 4.24 and common law principles).

- **Key Elements of a Negligence Claim**:
  - **Duty of Care**: Schools generally have a legal duty to protect students from foreseeable harm while they are under the school's supervision. This includes taking reasonable steps to prevent or address bullying, especially if it's reported multiple times. Washington state law (e.g., RCW 28A.600.477) requires schools to have anti-bullying policies and to investigate complaints promptly.
  - **Breach of Duty**: You'd need to show that the school failed to uphold this duty. For example, if you reported the bullying repeatedly and the school did nothing (or their response was inadequate), that could constitute a breach. Evidence like emails, incident reports, or witness statements would be crucial.
  - **Causation and Damages**: There must be a direct link between the school's inaction and the harm (e.g., your daughter's suicide attempt). Damages could include medical bills, emotional distress, therapy costs, and pain and suffering.
  
- **Challenges and Considerations**:
  - **Governmental Immunity**: Public school districts in Washington have some protections under sovereign immunity, but they can still be sued for negligence if it involves operational (rather than policy-making) failures. You may need to file a claim notice with the district first (under RCW 4.96.020) before suing.
  - **Statute of Limitations**: In Washington, you generally have 3 years from the date of the injury to file a negligence lawsuit, but for minors, this can be tolled until they turn 18.
  - **Evidence**: Document everything—reports to the school, medical records, communications, etc. If the bullying involved discrimination (e.g., based on race, gender, disability), it might strengthen your case or open other avenues.

Cases like this have succeeded in the past. For instance, some parents have won settlements or judgments against schools for failing to address severe bullying that led to mental health crises, though outcomes vary widely.

### 2. **Title IX Liability**
Title IX is a federal law (part of the Education Amendments of 1972) that prohibits sex-based discrimination in education programs receiving federal funding, which includes most public schools like Roosevelt High.

- **How It Applies to Bullying**:
  - Title IX can cover bullying if it's severe, pervasive, and based on sex/gender, such as sexual harassment, gender-based taunts, or harassment related to sexual orientation/gender identity. If the bullying your daughter experienced fits this description (e.g., it involved sexist remarks, sexual rumors, or gender stereotypes), the school could be liable for failing to respond adequately.
  - The U.S. Department of Education's Office for Civil Rights (OCR) enforces Title IX. Schools must investigate and take prompt action to stop the harassment, prevent its recurrence, and remedy its effects. ""Deliberate indifference"" (e.g., ignoring repeated reports) can lead to liability.

- **Pursuing a Title IX Claim**:
  - You can file a complaint with the OCR (online at ed.gov/ocr) for free—they investigate and can require the school to make changes. This doesn't provide monetary damages but can lead to systemic fixes.
  - For a private lawsuit under Title IX, you'd need to show the school had actual knowledge of the harassment and responded with deliberate indifference, causing harm. Damages could include compensation for emotional distress or lost educational opportunities.
  - Note: If the bullying wasn't sex-based, Title IX might not apply, but other federal laws like Section 504 (for disabilities) or Title VI (for race-based discrimination) could if relevant.

The Supreme Court case *Davis v. Monroe County Board of Education* ("
marvintong/legal-llm-benchmark,legal,"I filed Chapter 7 bankruptcy 3 years ago and got a discharge. Now I'm in debt again ($45,000). Can I file another Chapter 7, or do I have to wait 8 years? What about Chapter 13 - is there a waiting period for that? My creditors are threatening garnishment.","Since you received a **Chapter 7 discharge** three years ago, you generally **cannot** file another Chapter 7 bankruptcy and receive a discharge until **8 years** have passed from the previous filing date (under [11 U.S.C. § 727(a)(8)](https://www.law.cornell.edu/uscode/text/11/727)).  

### **Your Options Now:**  
1. **Chapter 13 Bankruptcy (Reorganization)**  
   - **Waiting Period:** You **can** file for **Chapter 13** now because the waiting period is only **4 years** from your prior Chapter 7 discharge (not 8).  
   - **How It Helps:**  
     - Stops wage garnishment immediately (via the **automatic stay**).  
     - Lets you repay a portion of your debt over **3–5 years** (based on income).  
     - May allow discharge of remaining unsecured debt after the repayment plan.  

2. **Wait and File Chapter 7 Later**  
   - If you wait **5 more years** (total of 8 from your last Chapter 7 filing), you can file again.  

3. **Negotiate with Creditors (Outside Bankruptcy)**  
   - Try settling debts for less than owed (lump-sum offers).  
   - Request payment plans (though garnishment may still proceed).  

### **Urgent Action If Facing Garnishment:**  
- **File Chapter 13 ASAP** to stop garnishment (the stay takes effect immediately upon filing).  
- Consult a **bankruptcy attorney** to assess your best strategy—some debts (like taxes or student loans) may not be dischargeable.  

Would you like help finding legal aid or a bankruptcy attorney in your area?"
marvintong/legal-llm-benchmark,legal,"I sold my house in Austin, Texas for $600K (bought for $300K 10 years ago). I lived in it for 8 years, then rented it out for 2 years before selling. Do I qualify for the $250K capital gains exclusion under Section 121? Or do I owe capital gains tax on the full $300K gain?","Under **IRS Section 121**, you may qualify for a **partial capital gains exclusion**, but not the full $250K exclusion. Here’s why:

### **Key Rules for the Section 121 Exclusion:**
1. **Ownership & Use Test:**  
   - You must have **owned and lived in the home as your primary residence for at least 2 of the last 5 years** before the sale.  
   - You **meet this requirement** (lived there 8 years, rented for 2 years before selling).

2. **Exclusion Limits:**  
   - Single filers can exclude **up to $250K** in capital gains ($500K if married filing jointly).  
   - However, the exclusion is **reduced if the home was not your primary residence for the entire 5-year period before the sale**.

### **Your Situation:**
- **Total Gain:** $600K - $300K = **$300K**  
- **Non-Qualified Use Period:** The last **2 years** (when rented out) are considered **non-qualified use** (since they were not as your primary residence).  
- **Qualified Use:** 8 years lived in + 3 years of the 5-year lookback (since you rented only the last 2 years).  

### **Calculation:**
1. **Total Ownership Period:** 10 years  
2. **Non-Qualified Use:** 2 years (rental period)  
3. **Taxable Gain Due to Non-Qualified Use:**  
   \[
   \text{Taxable Portion} = \text{Total Gain} \times \frac{\text{Non-Qualified Use}}{\text{Total Ownership}} = 300K \times \frac{2}{10} = \mathbf{60K}
   \]
4. **Remaining Gain Eligible for Exclusion:**  
   \[
   300K - 60K = 240K
   \]
   - Since **$240K** is below the **$250K** exclusion limit for a single filer, you can exclude all of it.

### **Final Taxable Gain:**
- **$60K** is taxable (from the rental period).  
- **$240K** is excluded under Section 121.  

### **What You Owe:**
- You will owe **long-term capital gains tax** (typically **15% or 20%**, depending on income) on the **$60K** gain.  
- You may also owe **depreciation recapture** (if you claimed depreciation while renting, taxed at **25%**).  

### **Key Takeaway:**  
- You **do not** owe tax on the full $300K gain.  
- Only **$60K** is taxable (plus depreciation recapture, if applicable).  
- The remaining **$240K** is tax-free under Section 121.  

Would you like help estimating your exact tax liability based on your income and depreciation history?"
marvintong/legal-llm-benchmark,legal,"I need an operating agreement for my new LLC, 'Sunset Real Estate Holdings LLC', formed in Nevada. Members are myself (65% ownership), my brother David (25%), and my business partner Lisa Kim (10%). We want to specify that I have decision-making authority, but major decisions (over $100K) require unanimous consent. Can you draft this?","Of course. Here is a draft operating agreement for **Sunset Real Estate Holdings LLC**, tailored to your specific requirements for Nevada.

***

### **IMPORTANT DISCLAIMER**

**This document is a template and is not a substitute for legal advice. It is provided for informational purposes only. The law governing LLCs is complex, and the specific needs of your business may not be fully addressed in this draft. You should consult with a qualified Nevada attorney to review this agreement, ensure it complies with all current state laws, and is properly tailored to your specific circumstances and business goals. Do not sign this agreement without professional legal review.**

***

## **OPERATING AGREEMENT**

### **OF**

### **Sunset Real Estate Holdings LLC**

**A Nevada Limited Liability Company**

---

**Date of Agreement:** `[Date]`

---

### **ARTICLE I: FORMATION OF COMPANY**

**1.1. Formation.** The Members hereby form a Limited Liability Company under the laws of the State of Nevada, pursuant to the Nevada Revised Statutes (NRS) Chapter 86. The name of the Company is **Sunset Real Estate Holdings LLC** (the ""Company"").

**1.2. Purpose.** The purpose of the Company is to engage in any lawful act or activity for which a Limited Liability Company may be organized under the laws of the State of Nevada, including but not limited to, acquiring, owning, managing, leasing, and selling real property.

**1.3. Principal Office.** The principal office of the Company shall be located at `[Your Company's Full Address, City, State, ZIP]`, or such other place as the Members may from time to time designate.

### **ARTICLE II: DEFINITIONS**

For the purposes of this Agreement, the following terms shall have the meanings set forth below:

*   **""Act""** shall mean the Nevada Revised Statutes, Chapter 86, as amended.
*   **""Agreement""** shall mean this Operating Agreement, as amended from time to time.
*   **""Capital Account""** shall have the meaning ascribed to it in Section 4.2.
*   **""Company""** shall mean Sunset Real Estate Holdings LLC.
*   **""Major Decision""** shall have the meaning ascribed to it in Section 7.2.
*   **""Member""** shall mean each person listed in Article III, and any person who subsequently becomes a Member of the Company in accordance with this Agreement.
*   **""Membership Interest""** shall mean a Member’s ownership interest in the Company, including the right to share in profits and losses and to receive distributions of Company assets.

### **ARTICLE III: MEMBERS AND CAPITAL CONTRIBUTIONS**

**3.1. Members and Ownership Interests.** name, address, and ownership percentage of each Member are as follows:

| Member Name | Address | Ownership Interest |
| :--- | :--- | :--- |
| `[Your Full Name]` | `[Your Full Address]` | 65% |
| David `[Your Brother's Last Name]` | `[David's Full Address]` | 25% |
| Lisa Kim | `[Lisa's Full Address]` | 10% |
| **Total** | | **100%** |

**3.2. Initial Capital Contributions.** Each Member shall contribute cash to the Company in exchange for their Membership Interest as follows:

| Member Name | Initial Capital Contribution |
| :--- | :--- |
| `[Your Full Name]` | `$[Amount]` |
| David `[Your Brother's Last Name]` | `$[Amount]` |
| Lisa Kim | `$[Amount]` |
| **Total Initial Contribution** | **`$[Total Amount]`** |

**3.3. No Interest on Contributions.** No Member shall be entitled to interest on their Capital Contribution.

### **ARTICLE IV: MANAGEMENT**

**4.1. Management by Member.** The Company shall be managed by `[Your Full Name]` (the ""Managing Member""). The Managing Member shall have the full, exclusive, and complete authority to manage the business and affairs of the Company, to make all decisions, and to take all actions on behalf of the Company, subject to the limitations on authority set forth in Section 7.2 of this Agreement.

**4.2. Authority of Managing Member.** The Managing Member shall have the power to:
(a) Open, maintain, and close bank accounts in the name of the Company;
(b) Execute, deliver, and perform contracts, leases, and other instruments on behalf of the Company;
(c) Hire employees, agents, and independent contractors and set their compensation;
(d) Borrow money and incur indebtedness on behalf of the Company, subject to the limitations in Section 7.2;
(e) Purchase, sell, and manage real estate assets on behalf of the Company, subject"
UmaiTech/legal-contract-qpt5-redlining-1k,legal,How should this termination clause be revised to protect the client?,"I recommend the following redlined version:

Company may terminate this Agreement, in whole or in part, for convenience upon fifteen (15) days’ prior written notice to Consultant, and may terminate immediately for Consultant’s material breach that remains uncured ten (10) days after written notice thereof. Consultant may terminate this Agreement only for Company’s material breach that remains uncured thirty (30) days after Consultant’s written notice. Any termination by Company shall be without penalty or further liability, except as expressly set forth herein.

Rationale: The original bilateral at-will termination lets Consultant walk away at any time, creating continuity and delivery risk for Company. This revision gives Company a practical convenience right while limiting Consultant to a cause-based termination with a cure period—standard market positioning for a buyer. The cure periods add fairness and reduce unnecessary disputes.

This revision provides high risk reduction."
